"case","alpha","n","p","rho","sparsity","iter","loglambda","auc.mean","auc.sd","tau","auc.low","auc.upp"
"ar1",0.5,500,1000,0.8,0.01,500,-3,0.775997171717171,0.0865288300255534,9.37743865674903,0.768412585355905,0.783581758078437
"ar1",0.5,500,1000,0.8,0.01,500,-2.5,0.78437111111111,0.0844168148929909,7.76087761767425,0.776971651038556,0.791770571183664
"ar1",0.5,500,1000,0.8,0.01,500,-2,0.796689494949495,0.0823810480206632,6.1954626223807,0.789468477710966,0.803910512188025
"ar1",0.5,500,1000,0.8,0.01,500,-1.5,0.815734545454545,0.079272001841782,4.81040653034655,0.808786048129181,0.822683042779909
"ar1",0.5,500,1000,0.8,0.01,500,-1,0.840015757575757,0.0738687948934996,3.79099456735102,0.833540872221281,0.846490642930233
"ar1",0.5,500,1000,0.8,0.01,500,-0.5,0.862558181818181,0.0686753902067705,3.16133538417215,0.856538518455541,0.86857784518082
"ar1",0.5,500,1000,0.8,0.01,500,0,0.88070505050505,0.0640077854725451,2.83221647668163,0.875094520736342,0.886315580273759
"ar1",0.5,500,1000,0.8,0.01,500,0.5,0.894045656565656,0.0610958961626891,2.72923545228903,0.888690365148587,0.899400947982725
"ar1",0.5,500,1000,0.8,0.05,500,-3,0.567816968421052,0.0427025534032142,9.31653927635679,0.564073924581934,0.57156001226017
"ar1",0.5,500,1000,0.8,0.05,500,-2.5,0.571064210526316,0.0427630186200096,7.70653076646237,0.567315866677265,0.574812554375367
"ar1",0.5,500,1000,0.8,0.05,500,-2,0.575444,0.044426865393635,6.15288867746599,0.571549813550942,0.579338186449058
"ar1",0.5,500,1000,0.8,0.05,500,-1.5,0.584775536842105,0.0430669629944374,4.78689562149719,0.581000551093976,0.588550522590234
"ar1",0.5,500,1000,0.8,0.05,500,-1,0.595667494736842,0.0444608052183935,3.78701119299519,0.591770333330976,0.599564656142708
"ar1",0.5,500,1000,0.8,0.05,500,-0.5,0.606537852631578,0.0449113003692625,3.1777711603937,0.602601203584702,0.610474501678455
"ar1",0.5,500,1000,0.8,0.05,500,0,0.615492378947369,0.0461353587634531,2.87829084833266,0.611448436451601,0.619536321443137
"ar1",0.5,500,1000,0.8,0.05,500,0.5,0.620483157894737,0.0458834356298979,2.80574235685002,0.616461297435237,0.624505018354237
"ar1",0.5,500,1000,0.8,0.1,500,-3,0.528547511111111,0.026283844297283,9.49276682372174,0.526243630578808,0.530851391643414
"ar1",0.5,500,1000,0.8,0.1,500,-2.5,0.528874822222221,0.0265894371433449,7.83366488521621,0.526544155295931,0.531205489148512
"ar1",0.5,500,1000,0.8,0.1,500,-2,0.529654733333333,0.0269368036659336,6.23264319212365,0.527293618388865,0.532015848277802
"ar1",0.5,500,1000,0.8,0.1,500,-1.5,0.531843711111111,0.0272700132473329,4.83082448505281,0.529453389059071,0.534234033163151
"ar1",0.5,500,1000,0.8,0.1,500,-1,0.533361755555556,0.0287721199238093,3.81611017689986,0.530839768048104,0.535883743063007
"ar1",0.5,500,1000,0.8,0.1,500,-0.5,0.537728066666667,0.0278270992665271,3.20460962249732,0.535288913872065,0.54016721946127
"ar1",0.5,500,1000,0.8,0.1,500,0,0.539192555555555,0.0303597714002591,2.90155039014873,0.536531404260368,0.541853706850743
"ar1",0.5,500,1000,0.8,0.1,500,0.5,0.540536777777777,0.0304361572023156,2.80829665563924,0.53786893097183,0.543204624583725
"banded",0.5,500,1000,0.4,0.01,500,-3,0.978460202020202,0.0212210714426573,8.40355146196682,0.976600093094797,0.980320310945608
"banded",0.5,500,1000,0.4,0.01,500,-2.5,0.980566060606061,0.0197055883116471,7.21277565476516,0.978838789634003,0.982293331578118
"banded",0.5,500,1000,0.4,0.01,500,-2,0.983361010101011,0.0177657613206575,6.04143400726247,0.981803772461598,0.984918247740424
"banded",0.5,500,1000,0.4,0.01,500,-1.5,0.987049696969697,0.0153241224992386,4.92202819254992,0.985706478409227,0.988392915530167
"banded",0.5,500,1000,0.4,0.01,500,-1,0.991407676767678,0.0118825480794775,3.95354640274103,0.990366125505814,0.992449228029541
"banded",0.5,500,1000,0.4,0.01,500,-0.5,0.99504383838384,0.0081525213350691,3.26007740080376,0.994329238381625,0.995758438386054
"banded",0.5,500,1000,0.4,0.01,500,0,0.997492525252527,0.0051591094475957,2.83494299341015,0.997040309370942,0.997944741134112
"banded",0.5,500,1000,0.4,0.01,500,0.5,0.998976161616162,0.00281326622782877,2.59147621913669,0.998729567958813,0.999222755273512
"banded",0.5,500,1000,0.4,0.05,500,-3,0.7690688,0.0391663029453515,7.86390987126819,0.765635722180124,0.772501877819875
"banded",0.5,500,1000,0.4,0.05,500,-2.5,0.776081263157894,0.0384690724324821,6.74025121826805,0.772709300287071,0.779453226028718
"banded",0.5,500,1000,0.4,0.05,500,-2,0.786318315789474,0.0375539782365099,5.63902786356976,0.783026564461508,0.789610067117439
