"case","alpha","n","p","rho","sparsity","loglambda","false.pos","true.pos"
"ar1",0.5,500,1000,0.8,0.01,-3,0,0
"ar1",0.5,500,1000,0.8,0.01,-3,4.24242424242424e-05,0.0072
"ar1",0.5,500,1000,0.8,0.01,-3,4.24242424242424e-05,0.0074
"ar1",0.5,500,1000,0.8,0.01,-3,4.64646464646465e-05,0.0074
"ar1",0.5,500,1000,0.8,0.01,-3,4.64646464646465e-05,0.0078
"ar1",0.5,500,1000,0.8,0.01,-3,4.64646464646465e-05,0.0078
"ar1",0.5,500,1000,0.8,0.01,-3,4.64646464646465e-05,0.0078
"ar1",0.5,500,1000,0.8,0.01,-3,4.84848484848485e-05,0.0078
"ar1",0.5,500,1000,0.8,0.01,-3,4.84848484848485e-05,0.0078
"ar1",0.5,500,1000,0.8,0.01,-3,5.25252525252525e-05,0.0078
"ar1",0.5,500,1000,0.8,0.01,-3,5.25252525252525e-05,0.0078
"ar1",0.5,500,1000,0.8,0.01,-3,5.65656565656566e-05,0.0078
"ar1",0.5,500,1000,0.8,0.01,-3,5.65656565656566e-05,0.0078
"ar1",0.5,500,1000,0.8,0.01,-3,5.65656565656566e-05,0.0078
"ar1",0.5,500,1000,0.8,0.01,-3,5.65656565656566e-05,0.008
"ar1",0.5,500,1000,0.8,0.01,-3,5.85858585858586e-05,0.008
"ar1",0.5,500,1000,0.8,0.01,-3,5.85858585858586e-05,0.0082
"ar1",0.5,500,1000,0.8,0.01,-3,5.85858585858586e-05,0.0082
"ar1",0.5,500,1000,0.8,0.01,-3,5.85858585858586e-05,0.0084
"ar1",0.5,500,1000,0.8,0.01,-3,5.85858585858586e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,5.85858585858586e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.06060606060606e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.06060606060606e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.26262626262626e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.26262626262626e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.46464646464646e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.46464646464646e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.46464646464646e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.46464646464646e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.46464646464646e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.46464646464646e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.66666666666667e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,6.66666666666667e-05,0.0086
"ar1",0.5,500,1000,0.8,0.01,-3,7.07070707070707e-05,0.0088
"ar1",0.5,500,1000,0.8,0.01,-3,7.07070707070707e-05,0.0088
"ar1",0.5,500,1000,0.8,0.01,-3,7.07070707070707e-05,0.009
"ar1",0.5,500,1000,0.8,0.01,-3,7.27272727272727e-05,0.009
"ar1",0.5,500,1000,0.8,0.01,-3,7.27272727272727e-05,0.0092
"ar1",0.5,500,1000,0.8,0.01,-3,7.27272727272727e-05,0.0092
"ar1",0.5,500,1000,0.8,0.01,-3,7.27272727272727e-05,0.0092
"ar1",0.5,500,1000,0.8,0.01,-3,7.27272727272727e-05,0.0092
"ar1",0.5,500,1000,0.8,0.01,-3,7.27272727272727e-05,0.0092
"ar1",0.5,500,1000,0.8,0.01,-3,7.27272727272727e-05,0.0094
"ar1",0.5,500,1000,0.8,0.01,-3,7.27272727272727e-05,0.0094
"ar1",0.5,500,1000,0.8,0.01,-3,7.27272727272727e-05,0.0096
"ar1",0.5,500,1000,0.8,0.01,-3,7.47474747474748e-05,0.0098
"ar1",0.5,500,1000,0.8,0.01,-3,7.47474747474748e-05,0.0102
"ar1",0.5,500,1000,0.8,0.01,-3,7.67676767676768e-05,0.0102
"ar1",0.5,500,1000,0.8,0.01,-3,7.87878787878788e-05,0.0104
"ar1",0.5,500,1000,0.8,0.01,-3,7.87878787878788e-05,0.0104
"ar1",0.5,500,1000,0.8,0.01,-3,7.87878787878788e-05,0.0104
"ar1",0.5,500,1000,0.8,0.01,-3,7.87878787878788e-05,0.0104
"ar1",0.5,500,1000,0.8,0.01,-3,7.87878787878788e-05,0.0106
