"case","rho","n","p","alpha","sparsity","precision.theory","loglambda","precision.mean","precision.sd","CI.low","CI.upp"
"ind",0.8,300,1000,0.3,0.01,0.890015476184918,0.4,0.8935,0.0185233968932518,0.891876352674601,0.895123647325399
"ind",0.8,300,1000,0.3,0.05,0.783093684569154,0,0.78578,0.0240412054422867,0.783672695430504,0.787887304569496
"ind",0.8,300,1000,0.3,0.1,0.681545279995848,0.1,0.684868,0.0277591736087167,0.682434801151818,0.687301198848182
"ind",0.8,400,1000,0.4,0.01,0.896298121008646,0.7,0.898308,0.0182652778997065,0.896706977801943,0.899909022198057
"ind",0.8,400,1000,0.4,0.05,0.807866244163514,0.2,0.809592,0.0226913050892474,0.807603019413432,0.811580980586568
"ind",0.8,400,1000,0.4,0.1,0.724663805178356,0.2,0.72524,0.0235365745315958,0.723176928280083,0.727303071719917
"ind",0.8,500,1000,0.5,0.01,0.901980458296088,0.9,0.903968,0.0158575502458482,0.902578024435992,0.905357975564008
"ind",0.8,500,1000,0.5,0.05,0.833456917247338,0.3,0.833436,0.0204085011168305,0.831647116004008,0.835224883995992
"ind",0.8,500,1000,0.5,0.1,0.754055825057198,0.3,0.754112,0.023740823688719,0.752031025052095,0.756192974947905
"ind",0.8,600,1000,0.6,0.01,0.904397946356614,1.1,0.906912,0.0142393037590708,0.905663869994624,0.908160130005376
"ind",0.8,600,1000,0.6,0.05,0.838471379105239,0.5,0.840964,0.0205489469911451,0.839162805380341,0.842765194619659
"ind",0.8,600,1000,0.6,0.1,0.774610951755103,0.4,0.773948,0.0221969074738533,0.772002355275129,0.775893644724871
"ind",0.8,700,1000,0.7,0.01,0.904964191554229,1.3,0.906908,0.0140745060104743,0.905674315154185,0.908141684845815
"ind",0.8,700,1000,0.7,0.05,0.850966713989341,0.6,0.852532,0.0196183264695777,0.850812377865642,0.854251622134358
"ind",0.8,700,1000,0.7,0.1,0.78921991417683,0.5,0.789692,0.0214595937596371,0.78781098367169,0.79157301632831
"ind",0.8,800,1000,0.8,0.01,0.908154407797969,1.4,0.91082,0.0144879052591324,0.909550079112369,0.912089920887631
"ind",0.8,800,1000,0.8,0.05,0.859602359553938,0.7,0.861444,0.0179016144411391,0.859874854309543,0.863013145690457
"ind",0.8,800,1000,0.8,0.1,0.814650300818599,0.5,0.815408,0.0190453928806932,0.813738597708935,0.817077402291065
"ind",0.8,900,1000,0.9,0.01,0.910122180856745,1.5,0.91152,0.0130376977694013,0.910377195403487,0.912662804596513
"ind",0.8,900,1000,0.9,0.05,0.865636774635815,0.8,0.86582,0.0183680802683757,0.864209966777027,0.867430033222973
"ind",0.8,900,1000,0.9,0.1,0.821760569881398,0.6,0.821992,0.0199494334704418,0.820243355057381,0.823740644942619
"ind",0.8,1000,1000,1,0.01,0.911379790664263,1.6,0.912456,0.0128396954620863,0.911330551070946,0.913581448929054
"ind",0.8,1000,1000,1,0.05,0.869817638729906,0.9,0.871068,0.0169730239817828,0.869580248852046,0.872555751147954
"ind",0.8,1000,1000,1,0.1,0.826634956566994,0.7,0.828152,0.0195732245232224,0.826436331225547,0.829867668774453
"ind",0.8,1100,1000,1.1,0.01,0.912181724777475,1.7,0.912308,0.013433169248995,0.911130530799915,0.913485469200085
"ind",0.8,1100,1000,1.1,0.05,0.872586575949533,1,0.873212,0.016855719699056,0.871734531025775,0.874689468974225
"ind",0.8,1100,1000,1.1,0.1,0.842217296198991,0.7,0.844452,0.0171213895452419,0.842951244037017,0.845952755962983
"ind",0.8,1200,1000,1.2,0.01,0.912664776306082,1.8,0.914316,0.0130804564401004,0.91316944744075,0.91546255255925
"ind",0.8,1200,1000,1.2,0.05,0.882495298164854,1,0.882412,0.0154473135201556,0.881057983270448,0.883766016729552
"ind",0.8,1200,1000,1.2,0.1,0.84414817563965,0.8,0.844444,0.0184598047873094,0.842825926768453,0.846062073231547
"ind",0.8,1300,1000,1.3,0.01,0.912923047571928,1.9,0.913588,0.0138540291701908,0.912373640801317,0.914802359198683
"ind",0.8,1300,1000,1.3,0.05,0.883414678990932,1.1,0.883536,0.015421164957853,0.88218427529299,0.88488772470701
"ind",0.8,1300,1000,1.3,0.1,0.844898064732259,0.9,0.8448,0.0179095925976564,0.843230154993291,0.846369845006709
"ind",0.8,1400,1000,1.4,0.01,0.912952046734742,2,0.914604,0.0120411445604083,0.913548547143652,0.915659452856348
"ind",0.8,1400,1000,1.4,0.05,0.883624782074136,1.2,0.88426,0.0171455048532654,0.88275713023707,0.88576286976293
"ind",0.8,1400,1000,1.4,0.1,0.855977045584603,0.9,0.856588,0.0173183748722688,0.855069977511811,0.858106022488189
"ind",0.8,1500,1000,1.5,0.01,0.914797723052764,2,0.914888,0.0124044829959492,0.913800699125576,0.915975300874424
"ind",0.8,1500,1000,1.5,0.05,0.89027680417112,1.2,0.891872,0.015150798969653,0.890543973916745,0.893200026083255
"ind",0.8,1500,1000,1.5,0.1,0.855289910047227,1,0.855376,0.017781873186705,0.85381735009326,0.85693464990674
