"case","rho","alpha","n","p","sparsity","loglambda","iter","precision.theory","precision.mean","precision.sd","power.theory","power.mean","power.sd","precision.low","precision.upp","power.low","power.upp"
"ar1",0.8,0.5,500,1000,0.01,-3,500,0.649209231306635,0.64912,0.0236380861796481,0.363105057337906,0.3772,0.14616047951325,0.647048030391817,0.651191969608183,0.364388469101629,0.390011530898371
"ar1",0.8,0.5,500,1000,0.01,-2.5,500,0.65380847651402,0.65342,0.0234429251904059,0.376778709632438,0.392,0.152520572547116,0.651365137006766,0.655474862993233,0.378630982367244,0.405369017632756
"ar1",0.8,0.5,500,1000,0.01,-2,500,0.661545555159465,0.661223999999999,0.0235874237065905,0.399117189581609,0.4148,0.152405429134461,0.659156471153375,0.663291528846622,0.40144107513236,0.42815892486764
"ar1",0.8,0.5,500,1000,0.01,-1.5,500,0.674599254046856,0.674811999999999,0.0232119418508874,0.435596842560987,0.4504,0.150549561077678,0.67277738358916,0.676846616410839,0.437203749139944,0.463596250860056
"ar1",0.8,0.5,500,1000,0.01,-1,500,0.693398015057798,0.694476,0.0229399631171376,0.484636077865529,0.4896,0.156655423920423,0.692465223576295,0.696486776423705,0.47586854666434,0.50333145333566
"ar1",0.8,0.5,500,1000,0.01,-0.5,500,0.71262995406456,0.714204000000001,0.0226011505905348,0.535187602298489,0.5376,0.155675012185121,0.712222921803667,0.716185078196334,0.523954483541954,0.551245516458046
"ar1",0.8,0.5,500,1000,0.01,0,500,0.721536259193063,0.72366,0.0231507302827632,0.578778446516463,0.5838,0.157375646744904,0.721630749019672,0.725689250980328,0.570005416350316,0.597594583649684
"ar1",0.8,0.5,500,1000,0.01,0.5,500,0.700328440454094,0.703416,0.0267078558316884,0.613047364076705,0.617,0.149986639351537,0.701074953218022,0.705757046781979,0.603853091404774,0.630146908595226
"ar1",0.8,0.5,500,1000,0.05,-3,500,0.621342462684441,0.621276,0.022981996613364,0.102990543509507,0.09964,0.0426275100049069,0.619261539177903,0.623290460822097,0.0959035340047651,0.103376465995235
"ar1",0.8,0.5,500,1000,0.05,-2.5,500,0.624283564862967,0.624228,0.0231714879043925,0.105619949844574,0.10228,0.0428307195956613,0.622196929533913,0.626259070466086,0.0985257218987877,0.106034278101212
"ar1",0.8,0.5,500,1000,0.05,-2,500,0.628864899246918,0.628792,0.0235041619134678,0.110004498795816,0.10664,0.0456077903551813,0.626731769371327,0.630852230628673,0.10264230091412,0.11063769908588
"ar1",0.8,0.5,500,1000,0.05,-1.5,500,0.635449987407653,0.635196,0.0225568438929924,0.117378881753491,0.11344,0.0477653583564264,0.633218805456938,0.637173194543061,0.109253181740419,0.117626818259581
"ar1",0.8,0.5,500,1000,0.05,-1,500,0.641610011654161,0.640688,0.0232019679906097,0.127929123848902,0.1256,0.0476527183183316,0.63865425783656,0.64272174216344,0.12142305507508,0.12977694492492
"ar1",0.8,0.5,500,1000,0.05,-0.5,500,0.639785438323339,0.639588,0.0231941845382153,0.139575958114604,0.13664,0.048594580629254,0.637554940086243,0.641621059913757,0.132380497203496,0.140899502796504
"ar1",0.8,0.5,500,1000,0.05,0,500,0.61778422558569,0.617964,0.0239830999281646,0.149250865919059,0.14788,0.0514431569481655,0.615861788603379,0.620066211396622,0.143370808480199,0.152389191519801
"ar1",0.8,0.5,500,1000,0.05,0.5,500,0.560184811402359,0.55976,0.025961401903163,0.153861805942993,0.15072,0.0504755104412884,0.557484382789691,0.56203561721031,0.146295626436208,0.155144373563792
"ar1",0.8,0.5,500,1000,0.1,-3,500,0.597705336025789,0.597996000000001,0.0240035064238807,0.0662882783984616,0.06692,0.0253099741125738,0.595891999895165,0.600100000104837,0.0647014829531206,0.0691385170468794
"ar1",0.8,0.5,500,1000,0.1,-2.5,500,0.600261481602617,0.600308000000001,0.0244901750370775,0.0670712934004768,0.06864,0.0258822367727506,0.598161341510381,0.602454658489621,0.0663713219193223,0.0709086780806777
"ar1",0.8,0.5,500,1000,0.1,-2,500,0.604354799235306,0.604868,0.0248823801450618,0.0683803671077248,0.06946,0.0256832173862743,0.602686963216904,0.607049036783097,0.0672087667377008,0.0717112332622993
"ar1",0.8,0.5,500,1000,0.1,-1.5,500,0.610305681164895,0.610536,0.0245289225217938,0.0705820960398888,0.0713,0.026035854728872,0.608385945143597,0.612686054856403,0.0690178567117782,0.0735821432882218
"ar1",0.8,0.5,500,1000,0.1,-1,500,0.615159147765333,0.615648,0.0237627741408645,0.0737042561047677,0.07352,0.0262790940019462,0.613565101010133,0.617730898989868,0.071216535849442,0.075823464150558
"ar1",0.8,0.5,500,1000,0.1,-0.5,500,0.610116328930933,0.609684,0.0224860710392359,0.0771020902810314,0.07674,0.0257545917846894,0.607713008971088,0.611654991028912,0.0744825104958377,0.0789974895041623
"ar1",0.8,0.5,500,1000,0.1,0,500,0.585014020714838,0.584688000000001,0.022813143910258,0.0798099987060973,0.07978,0.0244734447717929,0.582688339769899,0.586687660230103,0.07763480798279,0.08192519201721
"ar1",0.8,0.5,500,1000,0.1,0.5,500,0.535426834544947,0.536696000000001,0.0337439905434374,0.0809332741297493,0.08104,0.0250554175358502,0.533738208817861,0.53965379118214,0.0788437958208598,0.0832362041791402
"banded",0.4,0.5,500,1000,0.01,-3,500,0.807035279708209,0.807704000000001,0.0193325600932602,0.893455402700734,0.896,0.0955104417798282,0.806009426392934,0.809398573607068,0.887628140657075,0.904371859342925
"banded",0.4,0.5,500,1000,0.01,-2.5,500,0.81158753834742,0.812176,0.0193696512818781,0.902895223487446,0.9076,0.0925168023519775,0.810478175206904,0.813873824793097,0.899490544722499,0.915709455277501
"banded",0.4,0.5,500,1000,0.01,-2,500,0.818186593618083,0.81914,0.0190643988262208,0.915676914913124,0.9212,0.0867502808205535,0.817468931764357,0.820811068235643,0.913596002620707,0.928803997379293
"banded",0.4,0.5,500,1000,0.01,-1.5,500,0.828100142991822,0.829008,0.0192090059038887,0.933311753607322,0.9376,0.0774482825693759,0.827324256395134,0.830691743604867,0.930811358717023,0.944388641282977
"banded",0.4,0.5,500,1000,0.01,-1,500,0.841771698681706,0.842844,0.0173992278639174,0.955091849888365,0.9598,0.0607564209394426,0.841318890434619,0.844369109565382,0.954474464898225,0.965125535101775
"banded",0.4,0.5,500,1000,0.01,-0.5,500,0.854573917656225,0.855952000000001,0.0163257697372905,0.975057994439702,0.9808,0.0446693485670298,0.854520983188031,0.857383016811971,0.976884558963665,0.984715441036335
"banded",0.4,0.5,500,1000,0.01,0,500,0.858194667872981,0.860328,0.0155669224366378,0.988867455446358,0.991,0.0293380545177381,0.858963499086664,0.861692500913337,0.988428406138213,0.993571593861787
